spectrum	SMILES	Known	InChIKey14	MassBank rank	MetFrag rank	SIRIUS rank	Spec2Mol rank	adduct_sirius	adduct_metfrag	RT_exp	CCS_exp	CCS_pred	CCS_match	RT_pred	Exp. RTI	Pred RTI	Applicability Domain	RT_box	RT_match
Candidate_163.0381	COc1ccccc1C(=O)O	Known	ILUJQPXNXACGAN	1						9.9	123.51	128.7	FALSE	6.82	466.73	301.81	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	COC(=O)c1ccccc1C(=O)OC	Known	NIQCNGHVCWTJSM	2						9.9	123.51	138.8	FALSE	8.77	466.73	406.32	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	CCN(CC)C(=O)c1ccccc1OC	Known	ZFIIUAIWXACNKN	4						9.9	123.51	147.4	FALSE	8.49	466.73	391.4	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	CCN(CC)C(=O)c1ccc(OC)cc1	Known	HCJXEOFLVIFFDG	5						9.9	123.51	147.4	FALSE	8.77	466.73	406.19	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	CCP(=O)(CC)CC	Known	ZSSWXNPRLJLCDU	7						9.9	123.51	137.1	FALSE	5.49	466.73	230.53	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	CCN(CC)C(=O)c1cccc(OC)c1	Known	YYTOWTFIPGDNDQ	8						9.9	123.51	147.4	FALSE	8.79	466.73	407.32	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	COc1ccc(C(=O)Nc2nc3ccccc3c(NCc3ccccc3)c2C#N)cc1	Known	FFHQNQNMELQOEF	9						9.9	123.51	207	FALSE	14.25	466.73	699.56	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	CNc1ccc(O)cc1	Known	ZFIQGRISGKSVAG		1				[M+K]+	9.9	123.51	143.5	FALSE	4.13	466.73	157.88	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_163.0381	NCc1cccc(O)c1	Known	JNZYADHPGVZMQK		2				[M+K]+	9.9	123.51	144.4	FALSE	3.26	466.73	111.65	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_163.0381	NCc1ccc(O)cc1	Known	RQJDUEKERVZLLU		3				[M+K]+	9.9	123.51	144.4	FALSE	3.03	466.73	99.43	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_163.0381	NCc1ccccc1O	Known	KPRZOPQOBJRYSW		4				[M+K]+	9.9	123.51	144.4	FALSE	3.74	466.73	137.14	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_163.0381	NCC=Cc1ccco1	Known	FDGZUEQNFJPGFA		5				[M+K]+	9.9	123.51	145.4	FALSE	3.51	466.73	124.81	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_163.0381	Cc1ccc(O)c(N)c1	Known	ZMXYNJXDULEQCK		6				[M+K]+	9.9	123.51	143.9	FALSE	4.36	466.73	170.55	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_163.0381	N#[N+][N-]Oc1ccccc1C=O	Known	TYMGXZCLAQCLCN		7				[M+]+	9.9	123.51			9.13	466.73	425.76	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	Cc1nn[pH]c1C1CC1	Known	SRSYTFGKMBIOBC		8				[M+Na]+	9.9	123.51	143	FALSE	7.34	466.73	329.78	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	C=C(O)Oc1ccc(C=O)cc1	Known	UFJSQQUGCVSEJH		9				[M+]+	9.9	123.51			8.19	466.73	375.24	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	[N-]=[N+]=NCC(F)C(O)C(=O)O	Known	IBXQRBKCUZTKJE		10				[M+H]+	9.9	123.51	127.4	FALSE	0.31	466.73	-46.57	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_163.0381	COc1cccc2c(=O)c(=O)c12	Known	OXRKIXVLGCKTOE			1		[M + H]+		9.9	123.51	147.3	FALSE	7.49	466.73	338.06	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	O=Cc1cccc2c1C(=O)OC2	Known	RPYMKVVWTMETGV			2		[M + H]+		9.9	123.51	130.5	FALSE	6.4	466.73	279.44	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	Cc1cccc2c1C(=O)OC2=O	Known	TWWAWPHAOPTQEU			3		[M + H]+		9.9	123.51	128.5	FALSE	7.73	466.73	350.49	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	O=Cc1cccc(C=O)c1C=O	Known	HULHOBUIBFPLGZ			4		[M + H]+		9.9	123.51	127.7	FALSE	7.22	466.73	323.39	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	COc1ccc2c(=O)c(=O)c2c1	Known	BEXDZXZAOSACHG			5		[M + H]+		9.9	123.51	147.3	FALSE	7.43	466.73	334.71	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	O=Cc1ccc(C=O)c(C=O)c1	Known	JMRQKWYIMBFUBZ			6		[M + H]+		9.9	123.51	127.7	FALSE	7.65	466.73	346.57	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	C#CCCCC(=O)C(=O)O	Known	HPRDLTCDCRRKFL			7		[M + Na]+		9.9	123.51	137.1	FALSE	5.56	466.73	234.55	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	Cc1ccc2c(c1)C(=O)OC2=O	Known	ZOXBWJMCXHTKNU			8		[M + H]+		9.9	123.51	128.5	FALSE	7.21	466.73	322.64	"Although there is error, exp. & pred. tR are accepted for this candidate (box2)"	box2	TRUE
Candidate_163.0381	CC#CCCC(=O)C(=O)O	Known	CSUUECWFKAYAIR			9		[M + Na]+		9.9	123.51	136.9	FALSE	6.21	466.73	269.3	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	C#COc1ccccc1C(=O)O	Known	IJQXFGGROOMFEC			10		[M + H]+		9.9	123.51	133.5	FALSE	6.12	466.73	264.37	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	COc1ccc(C(=O)F)c2cccnc12	Known	CGGGTDNXYUIFOJ				1			9.9	123.51	140.1	FALSE	8.84	466.73	409.79	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	COc1ccc(C(=O)F)cc1-n1cccc1	Known	MGBAVJSUSPOKEC				3			9.9	123.51	146.1	FALSE	8.91	466.73	413.83	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	COc1ccc(C(=O)O)cc1Cl	Known	IBCQUQXCTOPJOD				4			9.9	123.51	131.9	FALSE	6.34	466.73	276.2	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	CNC(=O)c1ccc(OC)c(O)c1	Known	ACBJGYXUACIHCM				5			9.9	123.51	137.4	FALSE	5.43	466.73	227.75	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	COc1ccc(C(=O)N2CCC2)cc1O	Known	FWRQIROBZSSHIV				6			9.9	123.51	162	FALSE	6.25	466.73	271.41	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	COc1ccc(C(=O)O)c2ccccc12	Known	WRQHSQDGYYDRMX				8			9.9	123.51	140.4	FALSE	10.51	466.73	499.49	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_163.0381	COc1ccc(C(=O)F)nc1	Known	JBZQIGYFTKWFRX				9			9.9	123.51	128.5	FALSE	4.89	466.73	198.46	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_163.0381	COc1ccc(C(=O)N2CCOC2)nc1	Known	KYTCTCNIAZCPRD				10			9.9	123.51	147.1	FALSE	5.33	466.73	222.3	Pred./Exp. tR are not reliable (high SR; use other verification tool (box3))	box3	FALSE
Candidate_195.0875	Cn1c(=O)c2c(ncn2C)n(C)c1=O	Known	RYYVLZVUVIJVGH	1		1		[M + H]+		5.16	137.56	137.4	TRUE	5.3	213.14	220.8	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	Cn1c(=O)c2ncn(C)c2n(C)c1=O	Known	LPHGQDQBBGAPDZ	3		2		[M + H]+		5.16	137.56	137.4	TRUE	5.03	213.14	206.44	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	CC(C)CC(C(=O)O)N(C)[C+]=O	Known	MHSAHYQOZUYWOT		1				[M+Na]+	5.16	137.56	149.4	FALSE		213.14				FALSE
Candidate_195.0875	N#[N+]N=C1C(=O)CC=CC1=NN=N	Known	JAVDFKYGMDUZIN		2				[M+NH4]+	5.16	137.56	151.2	FALSE	3.42	213.14	119.96	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	[N-]=[N+]=NCC(=O)c1cccc(O)c1	Known	AXOXBWSKTWCOPU		3				[M+NH4]+	5.16	137.56	143.6	FALSE	3.55	213.14	126.98	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	CC(=O)n1ncc2cccn2c1=O	Known	UCVXOTGNYRZOGG		4				[M+NH4]+	5.16	137.56	138.9	TRUE	5.16	213.14	213.17	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	[N-]=[N+]=NCC(=O)c1ccccc1O	Known	IIXQHEJFDFXVFN		5				[M+NH4]+	5.16	137.56	143.6	FALSE	3.65	213.14	132.35	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	[N-]=[N+]=NCC(=O)c1ccc(O)cc1	Known	JGEUWOSZJOFDAS		6				[M+NH4]+	5.16	137.56	143.6	FALSE	3.57	213.14	127.95	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	CCCCC(CC(N)=O)C(=O)O	Known	MWQVDNKPXSIKND		7				[M+Na]+	5.16	137.56	146.1	FALSE	6.4	213.14	279.42	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	O=CCn1nc2ccccn2c1=O	Known	AWZILHTWULVWPA		8				[M+NH4]+	5.16	137.56	139.1	TRUE	5.37	213.14	224.53	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	N#CCOC(=O)c1ccc(N)cn1	Known	HUFVQAVJWXGGRV		9				[M+NH4]+	5.16	137.56	142.7	FALSE	3.85	213.14	143.18	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	[N-]=[N+]=NCc1ccc(O)c(C=O)c1	Known	HCYDOYWPLPGQSS		10				[M+NH4]+	5.16	137.56	143.2	FALSE	5.36	213.14	223.86	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	Cn1cnc2c(c1=O)n(C)c(=O)n2C	Known	XWJJHUXHXCANGE			3		[M + H]+		5.16	137.56	137.4	TRUE	5.4	213.14	226	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	Cn1cnc(=O)c2c1n(C)c(=O)n2C	Known	NWCPBHZYJHWSEL			4		[M + H]+		5.16	137.56	137.4	TRUE	5.68	213.14	240.91	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2C	Known	WZBKGWBHAPBSBF			5		[M + H]+		5.16	137.56	138.7	TRUE	4.54	213.14	179.88	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	Cc1nc2[nH]c(=O)n(C)c(=O)c2n1C	Known	NPIMUJMOFLJXLV			6		[M + H]+		5.16	137.56	138.7	TRUE	4.22	213.14	162.67	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	COc1nc2ncn(C)c2c(=O)n1C	Known	QWXDMSNUYYDCGR			7		[M + H]+		5.16	137.56	138.3	TRUE	5.24	213.14	217.64	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	Cn1c(=O)[nH]c2c(c1=O)n(C)c[n+]2C	Known	GPDTYMGBFFDFID			8		[M + H]+		5.16	137.56	139.6	TRUE	4.35	213.14	170	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	Cc1nc2c(=O)n(C)c(=O)[nH]c2n1C	Known	DQPSWAZGLXRDIE			9		[M + H]+		5.16	137.56	138.7	TRUE	4.31	213.14	167.78	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	COc1nc(=O)c2c(ncn2C)n1C	Known	ATTWHHINMNPETB			10		[M + H]+		5.16	137.56	138.3	TRUE	5.24	213.14	217.33	Exp. & Pred. tR are accepted for this candidate (box1)	box1	TRUE
Candidate_195.0875	COc1ccc2sc(C)cc2c1Cl	Known	URUHNIPSTDTDRT				2			5.16	137.56	135.7	TRUE	12.49	213.14	605.3	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
Candidate_195.0875	COc1ccc2nc(I)ccc2c1Cl	Known	XNSPPYOPJQUFCO				4			5.16	137.56	140.3	TRUE	13.45	213.14	656.52	"Pred./Exp. tR are not reliable (high SR; the LC method used is not well suited for this compound, it could be a false positive) (box4)"	box4	FALSE
